age,job,marital,education,balance,housing,loan,y
44,admin,single,primary,42817,no,yes,no
23,admin,married,primary,5614,yes,yes,no
48,management,single,tertiary,13060,yes,no,yes
55,technician,single,secondary,24225,no,yes,no
49,technician,divorced,primary,1731,no,yes,no
36,admin,single,secondary,13883,yes,yes,no
54,management,divorced,primary,18785,yes,yes,no
66,services,single,tertiary,19276,yes,yes,yes
60,student,single,primary,33080,no,yes,yes
37,admin,single,secondary,830,yes,yes,no
37,technician,single,secondary,32226,no,yes,yes
25,student,married,tertiary,5907,no,yes,yes
30,student,divorced,primary,49751,no,no,yes
37,services,single,secondary,36649,no,no,no
24,admin,divorced,primary,27490,yes,yes,no
52,services,divorced,primary,9884,no,no,no
62,services,single,secondary,49161,yes,yes,no
63,technician,divorced,tertiary,36473,yes,no,yes
44,management,married,secondary,6471,no,yes,no
37,technician,married,tertiary,19709,no,yes,yes
53,management,married,tertiary,40180,yes,no,yes
39,technician,single,tertiary,48621,no,yes,no
27,student,married,secondary,31674,no,yes,yes
38,services,single,secondary,19697,no,yes,yes
30,technician,married,primary,44420,no,no,no
59,services,single,primary,24051,yes,yes,yes
52,management,divorced,secondary,31758,yes,yes,no
60,technician,single,primary,11181,yes,no,yes
56,management,single,secondary,26173,yes,no,no
49,student,married,tertiary,32115,yes,no,no
59,technician,divorced,tertiary,15230,yes,yes,yes
23,management,divorced,secondary,11234,no,yes,no
66,services,divorced,primary,36013,yes,no,no
23,services,single,tertiary,9000,no,no,yes
62,student,single,tertiary,30998,no,yes,yes
65,student,married,primary,40169,yes,no,no
24,management,married,tertiary,37589,yes,no,yes
58,technician,married,tertiary,22911,yes,no,yes
24,services,single,primary,10548,yes,yes,yes
35,student,married,tertiary,43917,yes,no,no
52,services,married,secondary,48662,no,no,no
40,admin,divorced,primary,4855,yes,yes,no
63,technician,married,tertiary,17051,yes,yes,yes
56,technician,single,primary,45521,no,no,yes
55,student,married,primary,19434,no,no,yes
65,services,divorced,tertiary,27627,yes,yes,no
28,technician,single,tertiary,19810,yes,yes,yes
28,student,divorced,primary,22843,yes,yes,yes
30,student,single,secondary,47733,no,no,yes
37,services,married,primary,43166,yes,yes,yes
33,services,divorced,primary,32689,yes,yes,yes
28,student,divorced,secondary,2484,yes,no,no
54,student,married,primary,1881,yes,yes,no
53,technician,married,tertiary,10106,no,no,yes
45,management,single,primary,35528,no,no,no
55,services,single,tertiary,19638,no,yes,yes
51,student,single,primary,49974,no,no,yes
